Date,Close/Last,Volume,Open,High,Low
09/27/2024,90.4288,2362,90.5636,90.5636,90.4288
09/26/2024,90.1883,1255,90.35,90.35,90.06
09/25/2024,89.9876,3774,90.66,90.66,89.9876
09/24/2024,90.7278,1629,90.74,90.74,90.60
09/23/2024,90.7615,2311,90.75,90.8191,90.715
09/20/2024,90.3175,61441,90.15,90.3175,90.08
09/19/2024,90.3917,1465,90.64,90.64,90.3099
09/18/2024,89.482,3558,89.5892,90.00,89.34
09/17/2024,89.5757,1934,89.8693,89.981,89.5757
09/16/2024,89.5595,2301,89.38,89.5595,89.1784
09/13/2024,88.9584,3866,88.82,88.98,88.82
09/12/2024,88.3823,6048,88.00,88.45,88.00
09/11/2024,87.7704,3547,87.44,87.7704,86.0801
09/10/2024,87.6921,4576,87.79,87.79,87.1394
09/09/2024,87.5425,2861,87.36,87.658,87.36
09/06/2024,86.6686,3927,87.90,88.14,86.6686
09/05/2024,87.8222,3019,88.32,88.36,87.79
09/04/2024,88.3207,3281,88.32,88.73,88.01
09/03/2024,88.2471,3436,89.0311,89.0311,88.2471
08/30/2024,89.3047,1411,88.73,89.3047,88.40
08/29/2024,88.3818,1698,88.23,88.78,88.23
08/28/2024,88.1602,1290,88.40,88.40,88.1602
08/27/2024,88.3476,4248,88.24,88.365,88.24
08/26/2024,88.3403,1720,88.69,88.69,88.3403
08/23/2024,88.361,4373,87.895,88.361,87.8458
08/22/2024,87.4505,2646,88.10,88.10,87.40
08/21/2024,87.8168,1920,87.87,87.95,87.724
08/20/2024,87.4621,3400,87.74,87.77,87.37
08/19/2024,87.5184,1988,87.00,87.5184,87.00
08/16/2024,86.9072,687,86.9217,86.9217,86.9072
08/15/2024,86.6873,2546,86.43,86.81,86.42
08/14/2024,85.7575,5119,85.53,85.81,85.495
08/13/2024,85.4282,9963,84.75,85.53,84.75
08/12/2024,84.4654,3849,84.5869,84.612,84.43
08/09/2024,84.8576,3422,84.62,84.92,84.56
08/08/2024,84.4613,1131,84.20,84.4613,84.20
08/07/2024,82.9857,4959,84.14,84.44,82.9857
08/06/2024,83.5417,9239,83.05,84.42,83.05
08/05/2024,82.5164,9563,82.35,83.33,82.35
08/02/2024,84.7912,4661,85.30,85.30,83.99
08/01/2024,86.3357,2507,87.40,87.40,86.3357
07/31/2024,86.7875,1907,86.63,87.07,86.63
07/30/2024,86.3816,10477,86.47,86.47,85.9248
07/29/2024,86.0577,4119,86.01,86.20,85.815
07/26/2024,85.7335,3090,85.54,85.99,85.54
07/25/2024,84.998,3176,85.04,85.99,84.998
07/24/2024,85.037,2140,85.72,85.72,85.037
07/23/2024,86.2918,4853,86.55,86.71,86.2918
07/22/2024,86.4502,3506,86.42,86.53,85.9751
07/19/2024,85.829,1725,86.42,86.42,85.829
07/18/2024,86.2614,2726,87.47,87.47,86.2614
07/17/2024,87.1406,4804,87.16,87.29,87.0001
07/16/2024,87.3787,7047,86.86,87.43,86.79
07/15/2024,86.3565,1848,86.57,86.83,86.3565
07/12/2024,86.2083,732,86.345,86.5539,86.2083
07/11/2024,85.9515,25002,86.04,86.55,85.75
07/10/2024,85.74,3462,85.38,85.74,85.38
07/09/2024,85.3031,2823,85.14,85.45,85.14
07/08/2024,85.1141,2252,85.3201,85.3201,85.03
07/05/2024,85.3143,1372,84.78,85.3143,84.78
07/03/2024,84.84,882,84.92,84.95,84.84
07/02/2024,84.7306,1116,84.30,84.7306,84.30
07/01/2024,84.2212,965,84.59,84.59,84.2212
06/28/2024,84.3986,1917,85.06,85.07,84.3986
06/27/2024,84.691,177,84.691,84.691,84.691
06/26/2024,84.657,301,84.505,84.657,84.46
06/25/2024,84.8972,572,85.01,85.01,84.8972
06/24/2024,85.1758,1238,85.34,85.42,85.1758
06/21/2024,84.6856,1338,84.6004,84.6856,84.48
06/20/2024,84.5305,1341,84.3644,84.5305,84.33
06/18/2024,84.1601,1499,84.14,84.1601,84.13
06/17/2024,84.1202,3422,83.45,84.1599,83.43
06/14/2024,83.5592,551,83.25,83.5592,83.25
06/13/2024,83.8817,1117,84.08,84.08,83.6901
06/12/2024,84.1682,1416,84.43,84.46,84.1682
06/11/2024,83.9761,1562,83.75,83.9761,83.75
06/10/2024,84.2993,1681,84.14,84.2993,84.05
06/07/2024,84.1394,2603,83.99,84.50,83.99
06/06/2024,84.2476,491,84.11,84.25,84.11
06/05/2024,84.1226,3139,83.8472,84.1226,83.8472
06/04/2024,83.6947,4239,83.78,83.78,83.30
06/03/2024,83.5788,71,83.67,83.68,83.5788
05/31/2024,83.8254,894,83.00,83.8254,82.9854
05/30/2024,82.8788,1339,82.765,82.8788,82.765
05/29/2024,82.7019,1696,82.86,82.871,82.7019
05/28/2024,83.3968,2064,83.89,83.89,83.25
05/24/2024,83.8965,4279,83.93,83.98,83.8448
